"ISIN 
","DESCRIPTOR 
","WEIGHTED AVERAGE PRICE 
","LAST TRADE PRICE 
","WEIGHTED  AVERAGE YIELD 
(YTM) (%)","LAST  TRADE YIELD  
(Annualized) (%)","VALUE 
 (₹ Crores)","NO. OF TRADES 
"
"INE1C3207057","TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 A 9.35 NCD 31DC27 FVRS1LAC","100.5423","100.5423","9.2656","9.3500","0.25","2"
"INE1C3207024","TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 G 9.35 NCD 30DC33 FVRS1LAC","101.7091","101.7091","9.3500","9.3500","0.25","1"
"INE115A07PY3","LIC HOUSING FINANCE LTD TR 424 OPT I 7.85 LOA 18AG32 FVRS10LAC","103.7500","103.7500","7.1500","7.1500","0.20","1"
"INE338I07172","MOTILAL OSWAL FINANCIAL SERVICES LIMITED SR 1 9.25 BD 03SP32 FVRS1LAC","104.3700","104.3700","8.4000","8.4000","0.20","1"
"INE658F08490","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR VI STRPPS G 9.67 BD 08AG35 FVRS1LAC","100.0000","100.0000","9.9733","10.0192","0.20","1"
"INE918K07PX1","NUVAMA WEALTH FINANCE LIMITED SR D8G501A  BR NCD 22JN29 FVRS1LAC","101.1660","101.1660","11.3000","11.3000","0.15","1"
"INE516Y07444","PIRAMAL FINANCE LIMITED 6.75 LOA 26SP31 FVRS825
","93.5114","93.5114","9.1176","9.2000","0.11","1"
"INE658F08441","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR VI STRPPS B 9.67 BD 08AG30 FVRS1LAC","100.0000","100.0000","10.0185","10.0185","0.10","1"
"INE146O08266","HINDUJA LEYLAND FINANCE LIMITED SR B 9.50 NCD 29NV29 FVRS1LAC","103.8000","103.8000","8.7589","8.4000","0.10","1"
"INE148I07TY9","SAMMAAN CAPITAL LIMITED 9.75 NCD 12AP28 FVRS1LAC","95.0379","95.0379","12.1000","12.1000","0.10","1"
"INE413U08093","IIFL SAMASTA FINANCE LIMITED 11 LOA 18MY30 FVRS1LAC","98.5000","98.5000","11.3873","11.3873","0.10","1"
"INE423A07443","ADANI ENTERPRISES LIMITED SR VI 9 NCD 17JL30 FVRS1000","101.1059","101.1059","9.0935","9.0015","0.09","1"
"INE08XP07324","AKARA CAPITAL ADVISORS PRIVATE LIMITED 12.50 NCD 27DC28 FVRS1LAC","97.4931","97.4931","14.4242","14.3616","0.06","1"
"INE07HK07817","KRAZYBEE SERVICES PRIVATE LIMITED 10.40 NCD 25JN27 FVRS1LAC","100.9895","100.9895","11.5586","10.0000","0.03","1"
